Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Dependents_level
1,1,0,0,2,3539,1376,55,360,1,0,0,4915,0
1,1,2,0,0,3340,1710,150,360,0,0,0,5050,1
1,0,1,1,1,2769,1542,190,360,2,1,0,4311,0
1,1,2,1,0,2309,1255,125,360,0,0,0,3564,1
1,1,2,1,0,1958,1456,60,300,2,2,1,3414,1
1,1,0,0,0,3948,1733,149,360,0,0,0,5681,0
1,1,0,0,0,2483,2466,90,180,0,0,1,4949,0
1,0,0,0,1,7085,0,84,360,1,1,1,7085,0
1,1,2,0,0,3859,0,96,360,1,1,1,3859,1
1,1,0,0,0,4301,0,118,360,1,2,1,4301,0
1,1,0,0,0,3708,2569,173,360,1,2,0,6277,0
1,0,2,0,0,4354,0,136,360,1,0,1,4354,1
1,1,0,0,0,8334,0,160,360,1,1,0,8334,0
2,1,0,0,1,2083,4083,160,360,2,1,1,6166,0
1,1,3,0,0,7740,0,128,180,1,2,1,7740,1
1,1,0,0,0,3015,2188,153,360,1,0,1,5203,0
0,0,1,1,2,5191,0,132,360,1,1,1,5191,0
1,0,0,0,0,4166,0,98,360,0,1,0,4166,0
1,0,0,0,0,6000,0,140,360,1,0,1,6000,0
1,1,3,1,0,2947,1664,70,180,0,2,0,4611,1
2,1,0,0,0,16692,0,110,360,1,1,1,16692,0
0,1,2,1,2,210,2917,98,360,1,1,1,3127,1
1,1,0,0,0,4333,2451,110,360,1,2,0,6784,0
1,1,1,0,1,3450,2079,162,360,1,1,1,5529,0
1,1,1,1,0,2653,1500,113,180,0,0,0,4153,0
1,1,3,0,0,4691,0,100,360,1,1,1,4691,1
0,0,0,0,1,2500,0,93,360,2,2,1,2500,0
1,0,2,0,0,5532,4648,162,360,1,0,1,10180,1
1,1,2,0,1,16525,1014,150,360,1,0,1,17539,1
1,1,2,0,0,6700,1750,230,300,1,1,1,8450,1
2,1,2,0,0,2873,1872,132,360,0,1,0,4745,1
1,1,1,0,1,16667,2250,86,360,1,1,1,18917,0
1,1,2,0,0,2947,1603,144.020746887967,360,1,2,0,4550,1
0,0,0,1,0,4350,0,154,360,1,0,1,4350,0
1,1,3,1,0,3095,0,113,360,1,0,1,3095,1
1,1,0,0,0,2083,3150,128,360,1,1,1,5233,0
1,1,0,0,0,10833,0,234,360,1,1,1,10833,0
1,1,2,0,0,8333,0,246,360,1,1,1,8333,1
1,1,1,1,0,1958,2436,131,360,1,0,1,4394,0
1,0,2,0,0,3547,0,80,360,0,0,0,3547,1
1,1,1,0,0,18333,0,500,360,1,2,0,18333,0
1,1,2,0,1,4583,2083,160,360,1,1,1,6666,1
1,0,0,0,0,2435,0,75,360,1,2,0,2435,0
1,0,0,1,0,2699,2785,96,360,2,1,1,5484,0
1,1,1,1,0,5333,1131,186,360,2,2,1,6464,0
1,0,0,1,0,3691,0,110,360,1,0,1,3691,0
0,0,0,1,1,17263,0,225,360,1,1,1,17263,0
1,1,0,0,0,3597,2157,119,360,0,0,0,5754,0
0,1,1,0,0,3326,913,105,84,1,1,1,4239,0
1,1,0,1,0,2600,1700,107,360,1,0,1,4300,0
1,1,0,0,0,4625,2857,111,12,2,2,1,7482,0
1,1,1,0,1,2895,0,95,360,1,1,1,2895,0
1,0,0,0,0,6283,4416,209,360,0,0,0,10699,0
