,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Total_Income
482,2083,3150.0,128.0,360.0,1.0,1,5233.0
483,10833,0.0,234.0,360.0,1.0,1,10833.0
484,8333,0.0,246.0,360.0,1.0,1,8333.0
485,1958,2436.0,131.0,360.0,1.0,1,4394.0
486,3547,0.0,80.0,360.0,0.0,0,3547.0
487,18333,0.0,500.0,360.0,1.0,0,18333.0
488,4583,2083.0,160.0,360.0,1.0,1,6666.0
489,2435,0.0,75.0,360.0,1.0,0,2435.0
490,2699,2785.0,96.0,360.0,2.0,1,5484.0
491,5333,1131.0,186.0,360.0,2.0,1,6464.0
492,3691,0.0,110.0,360.0,1.0,1,3691.0
493,17263,0.0,225.0,360.0,1.0,1,17263.0
494,3597,2157.0,119.0,360.0,0.0,0,5754.0
495,3326,913.0,105.0,84.0,1.0,1,4239.0
496,2600,1700.0,107.0,360.0,1.0,1,4300.0
497,4625,2857.0,111.0,12.0,2.0,1,7482.0
498,2895,0.0,95.0,360.0,1.0,1,2895.0
499,6283,4416.0,209.0,360.0,0.0,0,10699.0
