,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income
434,1.0,0.0,0.0,0,0.0,3750,0.0,100.0,360.0,1.0,2,3750.0
430,0.0,0.0,1.0,0,1.0,8624,0.0,150.0,360.0,1.0,1,8624.0
337,1.0,1.0,2.0,0,1.0,2500,4600.0,176.0,360.0,1.0,0,7100.0
236,1.0,1.0,0.0,0,2.0,5746,0.0,255.0,360.0,2.0,2,5746.0
207,1.0,0.0,0.0,1,0.0,3975,2531.0,55.0,360.0,1.0,0,6506.0
212,1.0,1.0,1.0,0,1.0,7787,0.0,240.0,360.0,1.0,2,7787.0
295,1.0,1.0,3.0,0,2.0,4416,1250.0,110.0,360.0,1.0,2,5666.0
457,1.0,1.0,0.0,0,0.0,3708,2569.0,173.0,360.0,1.0,2,6277.0
251,0.0,0.0,2.0,0,0.0,3427,0.0,138.0,360.0,1.0,2,3427.0
488,1.0,1.0,2.0,0,1.0,4583,2083.0,160.0,360.0,1.0,1,6666.0
486,1.0,0.0,2.0,0,0.0,3547,0.0,80.0,360.0,0.0,0,3547.0
303,1.0,1.0,1.0,0,0.0,1625,1803.0,96.0,360.0,1.0,2,3428.0
350,1.0,1.0,0.0,0,0.0,9083,0.0,228.0,360.0,1.0,1,9083.0
269,0.0,0.0,1.0,0,0.0,2876,1560.0,90.0,360.0,1.0,2,4436.0
201,1.0,0.0,2.0,0,0.0,4923,0.0,166.0,360.0,0.0,1,4923.0
161,1.0,1.0,0.0,0,0.0,7933,0.0,275.0,360.0,1.0,2,7933.0
43,1.0,1.0,0.0,0,0.0,3941,2336.0,134.0,360.0,1.0,1,6277.0
217,1.0,1.0,0.0,0,0.0,3727,1775.0,131.0,360.0,1.0,1,5502.0
401,1.0,0.0,0.0,1,0.0,2755,0.0,65.0,300.0,1.0,0,2755.0
190,1.0,0.0,0.0,1,0.0,4885,0.0,48.0,360.0,1.0,0,4885.0
309,1.0,1.0,2.0,1,0.0,7667,0.0,185.0,360.0,2.0,0,7667.0
259,1.0,1.0,3.0,1,0.0,4931,0.0,128.0,360.0,2.0,1,4931.0
105,1.0,1.0,1.0,0,0.0,3052,1030.0,100.0,360.0,1.0,2,4082.0
53,1.0,1.0,2.0,0,0.0,4616,0.0,134.0,360.0,1.0,2,4616.0
389,1.0,1.0,0.0,0,0.0,5488,0.0,125.0,360.0,1.0,0,5488.0
1,1.0,1.0,1.0,0,0.0,4583,1508.0,128.0,360.0,1.0,0,6091.0
441,1.0,1.0,0.0,0,0.0,7901,1833.0,180.0,360.0,1.0,0,9734.0
482,1.0,1.0,0.0,0,0.0,2083,3150.0,128.0,360.0,1.0,1,5233.0
49,0.0,0.0,0.0,0,0.0,4000,2275.0,144.0,360.0,1.0,1,6275.0
419,1.0,1.0,0.0,0,0.0,3246,1417.0,138.0,360.0,1.0,1,4663.0
80,0.0,0.0,0.0,0,0.0,3846,0.0,111.0,360.0,1.0,1,3846.0
205,0.0,0.0,0.0,1,0.0,4408,0.0,120.0,360.0,1.0,1,4408.0
34,1.0,0.0,3.0,0,0.0,12500,3000.0,320.0,360.0,1.0,0,15500.0
263,0.0,0.0,0.0,0,0.0,7200,0.0,120.0,360.0,1.0,0,7200.0
427,1.0,1.0,2.0,0,0.0,5935,0.0,133.0,360.0,1.0,1,5935.0
366,1.0,0.0,0.0,0,0.0,2500,0.0,96.0,480.0,1.0,1,2500.0
91,1.0,1.0,2.0,0,0.0,6250,5654.0,188.0,180.0,1.0,1,11904.0
339,0.0,0.0,0.0,0,0.0,4160,0.0,71.0,360.0,1.0,1,4160.0
473,0.0,0.0,0.0,0,1.0,2500,0.0,93.0,360.0,2.0,2,2500.0
52,0.0,0.0,0.0,0,0.0,4230,0.0,112.0,360.0,1.0,1,4230.0
345,1.0,1.0,0.0,0,0.0,2499,2458.0,160.0,360.0,1.0,1,4957.0
264,1.0,0.0,0.0,0,1.0,5166,0.0,128.0,360.0,1.0,1,5166.0
241,1.0,1.0,1.0,1,0.0,2510,1983.0,140.0,180.0,1.0,2,4493.0
13,1.0,0.0,0.0,0,0.0,1853,2840.0,114.0,360.0,1.0,0,4693.0
315,1.0,1.0,1.0,1,0.0,3399,1640.0,111.0,180.0,1.0,2,5039.0
88,1.0,0.0,0.0,0,0.0,8566,0.0,210.0,360.0,1.0,2,8566.0
387,1.0,1.0,0.0,1,0.0,3010,3136.0,144.0207468879668,360.0,0.0,2,6146.0
273,1.0,1.0,0.0,0,0.0,2620,2223.0,150.0,360.0,1.0,1,4843.0
166,0.0,1.0,0.0,0,0.0,4583,0.0,112.0,360.0,1.0,0,4583.0
328,0.0,1.0,0.0,0,0.0,4333,2451.0,110.0,360.0,1.0,2,6784.0
492,1.0,0.0,0.0,1,0.0,3691,0.0,110.0,360.0,1.0,0,3691.0
134,1.0,0.0,0.0,0,0.0,4895,0.0,102.0,360.0,1.0,1,4895.0
306,0.0,0.0,0.0,0,0.0,3762,1666.0,135.0,360.0,1.0,0,5428.0
480,0.0,0.0,0.0,1,0.0,4350,0.0,154.0,360.0,1.0,0,4350.0
319,1.0,1.0,1.0,0,1.0,10000,0.0,155.0,360.0,1.0,0,10000.0
243,1.0,1.0,2.0,0,1.0,6250,1300.0,108.0,360.0,1.0,0,7550.0
54,0.0,1.0,1.0,0,1.0,11500,0.0,286.0,360.0,0.0,2,11500.0
363,1.0,1.0,0.0,0,0.0,3013,3033.0,95.0,300.0,2.0,2,6046.0
50,0.0,1.0,0.0,1,0.0,1928,1644.0,100.0,360.0,1.0,1,3572.0
456,1.0,1.0,0.0,0,0.0,4301,0.0,118.0,360.0,1.0,2,4301.0
174,1.0,1.0,0.0,1,1.0,4344,736.0,87.0,360.0,1.0,1,5080.0
445,1.0,1.0,1.0,0,1.0,3466,1210.0,130.0,360.0,1.0,0,4676.0
189,1.0,1.0,0.0,0,0.0,9328,0.0,188.0,180.0,1.0,0,9328.0
496,1.0,1.0,0.0,1,0.0,2600,1700.0,107.0,360.0,1.0,0,4300.0
187,1.0,1.0,0.0,0,0.0,2383,2138.0,58.0,360.0,2.0,0,4521.0
169,1.0,1.0,2.0,0,0.0,8000,0.0,200.0,360.0,1.0,1,8000.0
58,1.0,1.0,1.0,0,0.0,8080,2250.0,180.0,360.0,1.0,2,10330.0
48,0.0,1.0,0.0,0,0.0,2645,3440.0,120.0,360.0,0.0,2,6085.0
344,1.0,1.0,2.0,0,2.0,2583,2330.0,125.0,360.0,1.0,0,4913.0
235,1.0,1.0,1.0,0,0.0,5500,1260.0,170.0,360.0,1.0,0,6760.0
252,1.0,0.0,0.0,1,1.0,2583,2167.0,104.0,360.0,1.0,0,4750.0
21,1.0,1.0,1.0,0,0.0,5955,5625.0,315.0,360.0,1.0,2,11580.0
313,1.0,1.0,2.0,0,1.0,5746,0.0,144.0,84.0,2.0,0,5746.0
459,1.0,1.0,0.0,0,0.0,8334,0.0,160.0,360.0,1.0,1,8334.0
160,1.0,1.0,0.0,1,0.0,1863,1041.0,98.0,360.0,1.0,1,2904.0
276,1.0,1.0,0.0,0,0.0,3993,3274.0,207.0,360.0,1.0,1,7267.0
443,1.0,0.0,1.0,0,0.0,37719,0.0,152.0,360.0,1.0,1,37719.0
191,1.0,0.0,0.0,0,0.0,12000,0.0,164.0,360.0,1.0,1,12000.0
385,1.0,0.0,1.0,0,2.0,3667,0.0,113.0,180.0,1.0,2,3667.0
293,0.0,0.0,4.0,0,0.0,5417,0.0,143.0,480.0,0.0,2,5417.0
413,1.0,1.0,0.0,1,0.0,2253,2033.0,110.0,360.0,1.0,0,4286.0
343,1.0,1.0,3.0,1,0.0,3173,0.0,74.0,360.0,1.0,1,3173.0
257,1.0,1.0,3.0,0,0.0,5250,0.0,94.0,360.0,1.0,2,5250.0
308,1.0,0.0,0.0,0,0.0,20233,0.0,480.0,360.0,1.0,0,20233.0
149,1.0,1.0,0.0,0,0.0,4860,830.0,125.0,360.0,1.0,1,5690.0
130,1.0,0.0,0.0,0,1.0,20166,0.0,650.0,480.0,2.0,2,20166.0
151,1.0,1.0,0.0,0,1.0,2577,3750.0,152.0,360.0,1.0,0,6327.0
359,1.0,1.0,3.0,0,0.0,5167,3167.0,200.0,360.0,1.0,1,8334.0
99,1.0,1.0,0.0,0,0.0,1759,3541.0,131.0,360.0,1.0,1,5300.0
372,1.0,1.0,2.0,0,1.0,9323,7873.0,380.0,300.0,1.0,0,17196.0
87,1.0,1.0,0.0,0,0.0,2500,2118.0,104.0,360.0,1.0,1,4618.0
458,1.0,0.0,2.0,0,0.0,4354,0.0,136.0,360.0,1.0,0,4354.0
330,1.0,0.0,1.0,0,0.0,4384,1793.0,117.0,360.0,1.0,2,6177.0
214,1.0,1.0,0.0,0,0.0,3173,3021.0,137.0,360.0,1.0,2,6194.0
466,1.0,1.0,3.0,1,0.0,2947,1664.0,70.0,180.0,0.0,2,4611.0
121,0.0,0.0,0.0,0,0.0,4166,0.0,44.0,360.0,1.0,1,4166.0
499,1.0,0.0,0.0,0,0.0,6283,4416.0,209.0,360.0,0.0,0,10699.0
20,1.0,1.0,0.0,1,0.0,7660,0.0,104.0,360.0,0.0,2,7660.0
188,2.0,1.0,0.0,0,1.0,674,5296.0,168.0,360.0,1.0,0,5970.0
71,1.0,1.0,2.0,1,1.0,1875,1875.0,97.0,360.0,1.0,1,3750.0
106,1.0,1.0,2.0,0,0.0,11417,1126.0,225.0,360.0,1.0,2,12543.0
270,0.0,0.0,0.0,0,0.0,3237,0.0,30.0,360.0,1.0,2,3237.0
348,1.0,1.0,0.0,0,0.0,6333,4583.0,259.0,360.0,2.0,1,10916.0
435,0.0,2.0,4.0,0,0.0,10047,0.0,144.0207468879668,240.0,1.0,1,10047.0
102,1.0,1.0,4.0,0,0.0,13650,0.0,144.0207468879668,360.0,1.0,2,13650.0
